,Player,Pos,Age,Date,Lg,Tm,Unnamed: 7,Opp,Result,G#,Week,Day,Tgt,Rec,Rec Yds,Y/Rec,Rec TDs,Ctch%,Y/Tgt
157,Erik Swoope,TE,26.124000000000002,9/9/2018,NFL,IND,,CIN,L 23-34,1,1,Sun,1,1,13,13.0,0,100.0,13.0
158,Tyler Ervin,RB,24.337,9/9/2018,NFL,HOU,@,NWE,L 20-27,1,1,Sun,1,1,12,12.0,0,100.0,12.0
159,Darren Fells,TE,32.14,9/9/2018,NFL,CLE,,PIT,T 21-21,1,1,Sun,1,1,12,12.0,0,100.0,12.0
160,Jonnu Smith,TE,23.018,9/9/2018,NFL,TEN,@,MIA,L 20-27,1,1,Sun,3,1,12,12.0,0,33.3,4.0
161,Jordan Akins,TE,26.143,9/9/2018,NFL,HOU,@,NWE,L 20-27,1,1,Sun,2,2,11,5.5,0,100.0,5.5
162,Giovani Bernard,HB,26.291,9/9/2018,NFL,CIN,@,IND,W 34-23,1,1,Sun,1,1,11,11.0,0,100.0,11.0
163,Devontae Booker,RB,26.105,9/9/2018,NFL,DEN,,SEA,W 27-24,1,1,Sun,2,2,11,5.5,0,100.0,5.5
164,Josh Doctson,WR,25.28,9/9/2018,NFL,WAS,@,ARI,W 24-6,1,1,Sun,3,1,11,11.0,0,33.3,3.67
165,Mike Gesicki,TE,22.340999999999998,9/9/2018,NFL,MIA,,TEN,W 27-20,1,1,Sun,2,1,11,11.0,0,50.0,5.5
166,Chris Hogan,WR,29.32,9/9/2018,NFL,NWE,,HOU,W 27-20,1,1,Sun,5,1,11,11.0,0,20.0,2.2
167,Lamar Miller,RB,27.136999999999997,9/9/2018,NFL,HOU,@,NWE,L 20-27,1,1,Sun,2,1,11,11.0,0,50.0,5.5
168,Seth Roberts,WR,27.2,9/10/2018,NFL,OAK,,LAR,L 13-33,1,1,Mon,1,1,11,11.0,0,100.0,11.0
169,Kyle Rudolph,TE,28.304000000000002,9/9/2018,NFL,MIN,,SFO,W 24-16,1,1,Sun,2,1,11,11.0,1,50.0,5.5
170,Nick Vannett,TE,25.186999999999998,9/9/2018,NFL,SEA,@,DEN,L 24-27,1,1,Sun,2,1,11,11.0,0,50.0,5.5
171,Kelvin Benjamin,WR,27.215999999999998,9/9/2018,NFL,BUF,@,BAL,L 3-47,1,1,Sun,7,1,10,10.0,0,14.3,1.43
172,DeAndre Carter,WR,25.149,9/6/2018,NFL,PHI,,ATL,W 18-12,1,1,Thu,1,1,10,10.0,0,100.0,10.0
173,Amari Cooper,WR,24.084,9/10/2018,NFL,OAK,,LAR,L 13-33,1,1,Mon,3,1,9,9.0,0,33.3,3.0
