,Age,Fantasy Points,Opp RYPG,Opp PYPG,Rush Att/G,Rush Yds/G,Rush TDs/G,Tgt/G,Rec/G,Rec Yds/G,Rec TDs/G
831,23.14,25.20000000000001,102.8125,260.75,20.0,95.75,0.5,5.666666666666667,4.416666666666667,35.25,0.25
832,22.138,22.3,98.1875,210.0625,12.833333333333334,62.916666666666664,0.4166666666666667,3.5,2.75,21.333333333333332,0.08333333333333333
833,24.037,10.8,125.25,218.75,14.833333333333334,51.0,0.4166666666666667,1.4166666666666667,1.25,8.833333333333334,0.0
834,35.209,12.1,111.5,239.125,11.583333333333334,51.333333333333336,0.0,1.25,0.9166666666666666,8.333333333333334,0.08333333333333333
835,24.085,15.0,98.125,177.75,13.083333333333334,58.666666666666664,0.3333333333333333,1.3333333333333333,1.0833333333333333,10.583333333333334,0.0
836,23.023000000000003,10.1,106.0625,225.625,1.8333333333333333,7.833333333333333,0.0,0.8333333333333334,0.75,6.75,0.0
837,24.006999999999998,18.1,125.0625,233.3125,9.333333333333334,53.5,0.5833333333333334,2.5833333333333335,1.9166666666666667,14.833333333333334,0.08333333333333333
838,27.016,15.4,77.125,177.4375,2.75,13.916666666666666,0.16666666666666666,1.1666666666666667,1.0,10.666666666666666,0.0
839,23.136,10.9,125.25,218.75,5.583333333333333,25.0,0.08333333333333333,5.833333333333333,4.416666666666667,52.5,0.3333333333333333
840,23.24,6.7,117.375,258.0625,6.166666666666667,31.583333333333332,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.0
841,22.346999999999998,16.3,98.75,239.0625,10.916666666666666,57.833333333333336,0.5833333333333334,1.0833333333333333,1.0,11.083333333333334,0.16666666666666666
842,23.206,16.4,140.3125,253.75,6.916666666666667,35.833333333333336,0.08333333333333333,3.9166666666666665,3.0833333333333335,31.333333333333332,0.25
843,22.185,25.1,115.375,260.25,13.583333333333334,71.91666666666667,0.4166666666666667,7.666666666666667,6.666666666666667,55.25,0.5
844,28.316999999999997,18.5,111.5,239.125,0.08333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
845,24.191,15.8,97.9375,171.25,2.0833333333333335,8.166666666666666,0.0,1.3333333333333333,0.6666666666666666,5.583333333333333,0.0
846,23.089000000000002,8.9,117.875,207.75,5.333333333333333,18.916666666666668,0.3333333333333333,1.5833333333333333,1.4166666666666667,7.083333333333333,0.0
847,24.322,14.5,117.375,258.0625,1.75,6.75,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.0
848,23.295,5.7,140.375,236.4375,12.0,54.083333333333336,0.4166666666666667,0.8333333333333334,0.5833333333333334,4.166666666666667,0.0
849,23.122,16.8,108.125,235.6875,6.166666666666667,26.0,0.0,2.6666666666666665,2.25,16.166666666666668,0.08333333333333333
850,27.087,11.4,134.9375,198.4375,0.3333333333333333,2.3333333333333335,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.0
851,28.353,11.8,120.6875,236.875,8.083333333333334,38.916666666666664,0.3333333333333333,1.5,1.25,11.25,0.08333333333333333
852,23.136999999999997,11.2,120.6875,236.875,13.416666666666666,61.833333333333336,0.9166666666666666,7.0,5.416666666666667,46.25,0.3333333333333333
853,26.358,10.1,105.25,224.0,17.083333333333332,63.416666666666664,0.5,4.25,2.9166666666666665,27.333333333333332,0.16666666666666666
854,25.237,4.6000000000000005,117.875,207.75,10.666666666666666,42.833333333333336,0.16666666666666666,3.3333333333333335,2.5,22.583333333333332,0.4166666666666667
855,22.311,4.4,98.125,177.75,6.083333333333333,30.75,0.16666666666666666,0.8333333333333334,0.75,6.25,0.0
856,24.285,4.9,76.4375,241.0625,14.083333333333334,52.916666666666664,0.3333333333333333,1.3333333333333333,1.0833333333333333,5.916666666666667,0.08333333333333333
857,30.261999999999997,4.2,124.4375,228.0625,6.666666666666667,24.25,0.08333333333333333,1.5833333333333333,1.0,13.25,0.0
858,24.06900000000001,3.8,109.5,235.8125,2.1666666666666665,8.583333333333334,0.0,1.1666666666666667,0.8333333333333334,5.166666666666667,0.0
859,22.044,3.6,87.0625,217.9375,6.25,31.416666666666668,0.16666666666666666,0.5833333333333334,0.3333333333333333,2.0833333333333335,0.0
860,23.322,5.1000000000000005,99.5625,206.625,7.5,26.166666666666668,0.3333333333333333,1.1666666666666667,1.1666666666666667,11.166666666666666,0.08333333333333333
861,22.288,3.6,104.75,215.6875,8.0,33.083333333333336,0.4166666666666667,0.5,0.4166666666666667,2.3333333333333335,0.0
862,32.004,6.1000000000000005,134.9375,198.4375,9.083333333333334,27.916666666666668,0.4166666666666667,0.5,0.5,4.5,0.0
863,22.276999999999997,9.3,77.5625,226.125,9.75,48.583333333333336,0.3333333333333333,1.5,1.0,7.5,0.08333333333333333
864,27.228,13.7,96.75,228.4375,14.666666666666666,73.0,0.25,2.0833333333333335,1.5,12.0,0.08333333333333333
865,29.33,9.2,91.3125,216.375,8.75,37.083333333333336,0.16666666666666666,1.4166666666666667,1.25,8.166666666666666,0.0
866,24.138,13.1,104.75,215.6875,12.833333333333334,78.08333333333333,0.6666666666666666,2.5,2.0833333333333335,15.75,0.08333333333333333
867,24.128,7.3000000000000025,77.8125,213.625,19.416666666666668,97.91666666666667,1.25,5.083333333333333,3.8333333333333335,39.5,0.3333333333333333
868,27.219,7.8000000000000025,134.9375,198.4375,1.5833333333333333,6.166666666666667,0.0,2.6666666666666665,2.1666666666666665,13.25,0.0
869,22.142,12.7,136.6875,222.9375,1.0,2.5833333333333335,0.0,0.5833333333333334,0.5,3.5,0.16666666666666666
870,26.333000000000002,5.3,102.8125,260.75,1.1666666666666667,3.9166666666666665,0.0,0.3333333333333333,0.3333333333333333,1.8333333333333333,0.0
871,24.316999999999997,14.4,111.5,239.125,7.333333333333333,36.083333333333336,0.3333333333333333,4.416666666666667,3.0833333333333335,24.25,0.3333333333333333
872,25.055,3.4000000000000004,91.3125,216.375,2.5,17.416666666666668,0.0,3.5833333333333335,3.1666666666666665,26.5,0.0
873,28.05,5.300000000000002,121.125,223.5625,1.8333333333333333,9.333333333333334,0.0,1.6666666666666667,1.25,9.75,0.08333333333333333
874,25.294,3.2,98.125,177.75,7.25,32.75,0.25,2.1666666666666665,1.75,10.666666666666666,0.08333333333333333
875,27.226,8.1,96.75,228.4375,10.666666666666666,37.166666666666664,0.08333333333333333,1.0833333333333333,1.0,8.916666666666666,0.0
876,25.114,4.2,109.5,235.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
877,23.028000000000002,1.9,77.8125,213.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
878,23.25,1.7000000000000002,125.0625,233.3125,6.583333333333333,24.166666666666668,0.08333333333333333,1.6666666666666667,1.1666666666666667,7.583333333333333,0.0
879,33.263000000000005,2.4000000000000004,121.125,223.5625,16.0,71.33333333333333,0.5833333333333334,1.5833333333333333,1.3333333333333333,14.75,0.08333333333333333
880,28.305999999999997,7.4,76.4375,241.0625,1.5833333333333333,7.083333333333333,0.0,1.3333333333333333,1.1666666666666667,7.166666666666667,0.0
881,22.24,1.4,105.25,224.0,2.5,11.5,0.16666666666666666,1.3333333333333333,1.25,6.333333333333333,0.0
882,26.25,17.0,77.125,177.4375,0.4166666666666667,3.1666666666666665,0.0,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.0
883,28.07,7.7,111.0625,191.8125,10.916666666666666,38.666666666666664,0.08333333333333333,3.5,3.0,20.25,0.08333333333333333
884,26.309,3.8,140.375,236.4375,6.083333333333333,27.833333333333332,0.3333333333333333,6.75,4.916666666666667,45.916666666666664,0.4166666666666667
885,23.230999999999998,4.5,140.3125,253.75,1.4166666666666667,10.25,0.08333333333333333,0.16666666666666666,0.16666666666666666,2.5,0.0
886,27.274,2.3,124.4375,228.0625,3.0833333333333335,17.083333333333332,0.0,1.3333333333333333,0.8333333333333334,1.5,0.0
887,27.017,3.0,98.1875,210.0625,3.5833333333333335,16.0,0.25,3.0,2.1666666666666665,13.416666666666666,0.0
